bentuk_pendidikan,nama,npsn,status,alamat,desa,kecamatan,lintang,bujur
SMP,SMP K SOVERDI,50101613,Swasta,-,NULL,Kuta,-8.603966,115.1770912
SMP,SMP SUNARI LOKA KUTA,50101614,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK NEGERI PEMBINA KECAMATAN KUTA,69914839,Negeri,-,NULL,Kuta,-8.603966,115.1770912
TK,Kartika Pradnya Kumara,69878303,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK ADI WIDYA KUMARA,50105577,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK AISYIYAH BUSTANUL ATHFAL AMANAH KUTA,70025274,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK CAHAYA BANGSA,50104667,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK Darma Pertiwi,69986422,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK DHARMA PUTRA,50104684,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK EMBUN PAGI,69978015,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK GEMA ANGKASA,50104693,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK INDRA PRASTA KUTA,50104696,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK ISLAM PEMBANGUNAN,50104697,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK JEMBATAN BUDAYA,50104702,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK KARANG KEMANISAN,50104704,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK KARTIKA VII - 4 TUBAN,50104705,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK KARTINI TUBAN,50104708,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK KATOLIK SOVERDI,50104709,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK MUSLIMAT NAHDLATUL ULAMA,70004550,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK Mutiara Hati,69912017,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK PERMATA BUNI KUTA,69878302,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK PRSHANTI NILAYAM,50104749,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK SCUOLA DELL INFANZIA DON DOMENICO MASI,69986607,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK SISWA INDAH PRIMA,69878305,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK WIDYA KUMARA DHARMA,69878304,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK WIDYA KUSUMA,69973233,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK WIPARA,50104806,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TK,TK. BLUE DOLPHIN PLAYSKOOL,70035980,Swasta,-,NULL,Kuta,-8.603966,115.1770912
TPA,TPA. BLUE DOLPHIN PLAYSKOOL,70035982,Swasta,-,NULL,Kuta,-8.603966,115.1770912
KB,KB ANAK PELANGI,70000633,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB ARUNA MULIA NUSA DUA,70010303,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB BALI LIFE SCHOOL,70034816,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB Bintang Mandiri,69911980,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB BUKIT SUNRISE SCHOOL,69878327,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB FIRST BRIDGE TANJUNG BENOA,70006463,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB Garuda Bilingual School,69916400,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB KUSUMA DHARMA,69878334,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB MENTARI FAJAR,69878333,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB Mutiara,69975390,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB NUANSA UDAYANA,69878336,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB Permata Udayana,69878329,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB Pradnyan,69878328,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB Taman Rama,69912464,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB Widiatmika,69930505,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,KB. DAMAR BALI SCHOOL,70030733,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,PAUD LENTERA HATI,69914619,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
